"Timestamp","ATG_N2_POT"
"03/09/2013 14:52:49","1352"
"03/09/2013 14:56:26","1345"
"03/09/2013 15:00:04","1352"
"03/09/2013 15:03:41","1351"
"03/09/2013 15:07:18","1349"
"03/09/2013 15:10:56","1352"
"03/09/2013 15:14:33","1345"
"03/09/2013 15:18:11","1340"
"03/09/2013 15:21:48","1354"
"03/09/2013 15:25:26","1349"
"03/09/2013 15:29:03","1356"
"03/09/2013 15:32:40","1350"
"03/09/2013 15:36:18","1350"
"03/09/2013 15:39:55","1353"
"03/09/2013 15:43:33","1348"
"03/09/2013 15:47:10","1355"
"03/09/2013 15:50:48","1356"
"03/09/2013 15:54:25","1354"
"03/09/2013 15:58:03","1341"
"03/09/2013 16:01:40","1347"
"03/09/2013 16:05:17","1360"
"03/09/2013 16:08:55","1348"
"03/09/2013 16:12:32","1344"
"03/09/2013 16:16:10","1344"
"03/09/2013 16:19:47","1352"
"03/09/2013 16:23:25","1353"
"03/09/2013 16:27:02","1355"
"03/09/2013 16:30:39","1351"
"03/09/2013 16:34:17","1344"
"03/09/2013 16:37:54","1355"
"03/09/2013 16:41:32","1351"
"03/09/2013 16:45:09","1349"
"03/09/2013 16:48:47","1347"
"03/09/2013 16:52:24","1361"
"03/09/2013 16:56:01","1349"
"03/09/2013 16:59:39","1344"
"03/09/2013 17:03:16","1347"
"03/09/2013 17:06:54","1344"
"03/09/2013 17:10:31","1359"
"03/09/2013 17:14:09","1353"
"03/09/2013 17:17:46","1358"
"03/09/2013 17:21:24","1345"
"03/09/2013 17:25:01","1341"
"03/09/2013 17:28:38","1346"
"03/09/2013 17:32:16","1343"
"03/09/2013 17:35:53","1347"
"03/09/2013 17:39:31","1346"
"03/09/2013 17:43:08","1346"
"03/09/2013 17:46:46","1360"
"03/09/2013 17:50:23","1354"
"03/09/2013 17:54:00","1354"
"03/09/2013 17:57:38","1357"
"03/09/2013 18:01:15","1345"
"03/09/2013 18:04:53","1352"
"03/09/2013 18:08:30","1345"
"03/09/2013 18:12:08","1356"
"03/09/2013 18:15:45","1351"
"03/09/2013 18:19:23","1340"
"03/09/2013 18:23:00","1355"
"03/09/2013 18:26:37","1347"
"03/09/2013 18:30:15","1345"
"03/09/2013 18:33:52","1348"
"03/09/2013 18:37:30","1344"
"03/09/2013 18:41:07","1352"
"03/09/2013 18:44:45","1348"
